Channel Name,Date,Cost,IHC,IH Revenue,CPO (Cost per Order),ROAS (Return on Ad Spend)
Affiliate & Partnerships,2023-08-29,525.3599999999971,0.0,571.51,0.00,1.09
Affiliate & Partnerships,2023-08-30,574.644,0.0,103.8,0.00,0.18
Affiliate & Partnerships,2023-08-31,572.7689999999993,0.0,123.53,0.00,0.22
Affiliate & Partnerships,2023-09-01,413.2050000000006,0.0,1042.4299999999998,0.00,2.52
Affiliate & Partnerships,2023-09-02,395.7069999999974,0.0,648.97,0.00,1.64
Affiliate & Partnerships,2023-09-03,430.7160000000017,0.0,805.77,0.00,1.87
Affiliate & Partnerships,2023-09-04,602.5120000000005,0.0,1090.7,0.00,1.81
Affiliate & Partnerships,2023-09-05,218.92799999999872,0.0,711.21,0.00,3.25
Affiliate & Partnerships,2023-09-06,190.40900000000002,0.0,985.5100000000002,0.00,5.18
Affiliate & Partnerships,2023-09-07,209.49000000000152,0.0,1286.8299999999997,0.00,6.14
Direct Traffic,2023-08-29,0.846,0.0,2543.79,0.00,3006.84
Direct Traffic,2023-08-30,6.840999999999999,0.0,2887.37,0.00,422.07
Direct Traffic,2023-08-31,3.661,0.0,2644.4999999999995,0.00,722.34
Direct Traffic,2023-09-01,3.6020000000000003,0.0,8431.9,0.00,2340.89
Direct Traffic,2023-09-02,4.757,1.0,11132.779999999993,4.76,2340.29
Direct Traffic,2023-09-03,1.352,0.0,10556.429999999997,0.00,7808.01
Direct Traffic,2023-09-04,7.974,0.0,13933.509999999995,0.00,1747.37
Direct Traffic,2023-09-05,4.6080000000000005,0.0,9556.249999999996,0.00,2073.84
Direct Traffic,2023-09-06,0.0,0.0,7411.409999999996,0.00,0.00
Direct Traffic,2023-09-07,2.562,0.0,5839.549999999999,0.00,2279.29
FB & IG Ads,2023-08-29,10302.799000000037,0.0,208.16,0.00,0.02
FB & IG Ads,2023-08-30,10348.764999999983,0.0,77.98,0.00,0.01
FB & IG Ads,2023-08-31,10311.620999999981,0.0,60.9,0.00,0.01
FB & IG Ads,2023-09-01,10150.074000000033,0.0,1812.35,0.00,0.18
FB & IG Ads,2023-09-02,10467.035999999936,0.0,1792.250000000001,0.00,0.17
FB & IG Ads,2023-09-03,11424.587999999963,0.0,1532.08,0.00,0.13
